0,1,2,3,4,5,6,7,8,9
 200.0 to 225.0 km, 225.0 to 250.0 km, 250.0 to 275.0 km, 275.0 to 300.0 km, 300.0 to 325.0 km, 325.0 to 350.0 km, 350.0 to 375.0 km, 375.0 to 400.0 km, 400.0 to 425.0 km, 425.0 to 450.0 km
49.76851851851852,34.49074074074074,30.555555555555557,18.51851851851852,11.574074074074074,18.75,27.083333333333332,33.33333333333333,39.81481481481482,31.48148148148148
