0,1,2,3,4,5,6,7,8,9
 200.0 to 225.0km, 225.0 to 250.0km, 250.0 to 275.0km, 275.0 to 300.0km, 300.0 to 325.0km, 325.0 to 350.0km, 350.0 to 375.0km, 375.0 to 400.0km, 400.0 to 425.0km, 425.0 to 450.0km
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
