0,1,2,3,4,5,6,7,8,9
 200.0 to 225.0 km, 225.0 to 250.0 km, 250.0 to 275.0 km, 275.0 to 300.0 km, 300.0 to 325.0 km, 325.0 to 350.0 km, 350.0 to 375.0 km, 375.0 to 400.0 km, 400.0 to 425.0 km, 425.0 to 450.0 km
90.97222222222221,96.06481481481481,96.52777777777779,96.29629629629629,97.91666666666666,97.45370370370371,98.37962962962963,91.89814814814815,90.97222222222221,86.80555555555556
